LAND;EIU;REGION;NETZ;STR_NR;STR_KURZNAME;STR_KM_ANF;STR_KM_END;VON_KM;BIS_KM;VON_KM_I;BIS_KM_I;RI;LAENGE;DB_BETRIEB;ISK_NETZ;BAHNNUTZUNG;BETREIBERART;SONDERFALL;SONST_VERTR;AUSLAND
SH;DB Netz (ohne RNI);N;Kiel;1000;Flensburg-Weiche - Flensb. Gr;170,9 + 58;179,7 + 84;170,9 + 58;174,4 + 0;117090058;117440000;1;3439;x;01 ISK-Netz und ISK-Streckennetz;Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1000;Flensburg-Weiche - Flensb. Gr;170,9 + 58;179,7 + 84;174,4 + 0;179,7 + 84;117440000;117970084;1;5384;x;01 ISK-Netz und ISK-Streckennetz;Pz/Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1000;Flensburg-Weiche - Flensb. Gr;170,9 + 58;179,7 + 84;170,9 + 58;174,4 + 0;117090058;117440000;2;3439;x;01 ISK-Netz und ISK-Streckennetz;Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1000;Flensburg-Weiche - Flensb. Gr;170,9 + 58;179,7 + 84;174,4 + 0;179,7 + 84;117440000;117970084;2;5384;x;01 ISK-Netz und ISK-Streckennetz;Pz/Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1001;Flensburg-Weiche - Lindholm;0,6 + 34;35,7 + 0;0,6 + 34;35,7 + 0;100060034;103570000;1;35064;nv;03 nicht ISK-relevantes Netz;Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1001;Flensburg-Weiche - Lindholm;0,6 + 34;35,7 + 0;0,6 + 34;35,7 + 0;100060034;103570000;2;35064;nv;03 nicht ISK-relevantes Netz;Gz-Bahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1002;Flensburg Weiche - DB-Grenze;172,9 + 45;178,5 + 31;172,9 + 45;173,2 + 66;117290045;117320066;1;321;nv;02 ISK-Netz, kein ISK-Streckennetz;Hafenbahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1002;Flensburg Weiche - DB-Grenze;172,9 + 45;178,5 + 31;173,2 + 66;174,8 + 76;117320066;117480076;1;1610;nv;03 nicht ISK-relevantes Netz;nv;nv;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1002;Flensburg Weiche - DB-Grenze;172,9 + 45;178,5 + 31;174,8 + 76;177,3 + 5;117480076;117730005;1;2429;nv;03 nicht ISK-relevantes Netz;Hafenbahn;selbstbetrieben;nv;nv;nv
SH;DB Netz (ohne RNI);N;Kiel;1002;Flensburg Weiche - DB-Grenze;172,9 + 45;178,5 + 31;177,3 + 5;178,5 + 31;117730005;117850031;1;1226;nv;03 nicht ISK-relevantes Netz;nv;nv;nv;nv;nv
