LAND;EIU;REGION;NETZ;ANLAGEN_NR;STR_NR;VON_KM;BIS_KM;VON_KM_I;BIS_KM_I;RIKZ;RIL_100;STR_MEHRFACHZUORD;LAENGE;ANZ_STR_GL;QUERSCHN;BAUWEISE;WL_SERVICEEINR
BW;DB Netz (ohne RNI);SW;Stuttgart;13000016;4120;95,9 + 48;96,2 + 20;109590048;109620020;0;nv;nv;272;2;46,000;B;nv
BW;DB Netz (ohne RNI);SW;Stuttgart;13000018;4200;19,4 + 59;19,6 + 39;101940059;101960039;0;nv;nv;180;2;43,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000020;4540;86,2 + 69;86,3 + 64;108620069;108630064;0;nv;nv;95;1;22,000;B;nv
BW;DB Netz (ohne RNI);SW;Stuttgart;13000021;4600;68,7 + 59;69,2 + 52;106870059;106920052;0;nv;nv;493;1;40,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000022;4600;94,7 + 0;94,9 + 96;109470000;109490096;0;TSUL;nv;296;1;50,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000023;4600;117,3 + 83;117,4 + 86;111730083;111740086;0;nv;nv;103;1;46,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000024;4600;120,0 + 28;120,6 + 82;112000028;112060082;0;nv;nv;654;1;46,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000025;4600;120,8 + 4;121,0 + 73;112080004;112100073;0;nv;nv;269;1;46,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000026;4600;122,3 + 8;122,4 + 22;112230008;112240022;0;nv;nv;114;1;45,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000027;4630;78,7 + 15;78,8 + 40;107870015;107880040;0;nv;nv;125;1;20,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000028;4630;80,4 + 34;80,7 + 60;108040034;108070060;0;nv;nv;326;1;21,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000030;4660;14,3 + 82;15,0 + 66;101430082;101500066;0;nv;nv;684;1;42,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000031;4660;19,2 + 59;19,4 + 40;101920059;101940040;0;nv;nv;181;1;42,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000032;4660;31,0 + 35;31,3 + 10;103100035;103130010;0;nv;nv;275;1;42,000;B;nv
BW;DB Netz (ohne RNI);SW;Freiburg;13000033;4660;34,2 + 11;34,2 + 85;103420011;103420085;0;nv;nv;74;1;42,000;B;nv
BW;DB Netz (ohne RNI);SW;Stuttgart;13000034;4700;2,3 + 18;2,6 + 49;100230018;100260049;0;nv;nv;331;2;50,000;B;nv
BW;DB Netz (ohne RNI);SW;Stuttgart;13000035;4701;2,3 + 56;2,6 + 87;100230056;100260087;0;nv;nv;331;2;50,000;B;nv
